Def,Example,Persian,English
"bestrafen, bestraft, bestrafte, hat bestraft",Zu schnelles Fahren wird streng bestraft.,"مجازات کردن، تنبیه کردن، مجازات کردن، تنبیه کرده است","punish, punished, punished, has punished"
"besuchen, besucht, besuchte, hat besucht",1. Besuchen Sie uns doch mal. 2. Sie müssen noch einen Kurs besuchen.,"بازدید کردن، بازدید کردن، بازدید کردن، بازدید کرده است","visit, visited, visited, has visited"
"der Besuch, -e",1. Wir bekommen Besuch. 2. Ich mache einen Besuch im Krankenhaus. 3. Ich bin hier nur zu Besuch.,"بازدید، -s","the visit, -s"
"sich beteiligen, beteiligt sich, beteiligte sich, hat sich beteiligt",Wir wollen unserer Lehrerin ein Geschenk kaufen. Wer möchte sich beteiligen?,"شرکت کردن، شرکت کردن، مشارکت کردن، شرکت کرده است","to participate, participates, participated, has participated"
"der Betrag, ¨-e",Bitte überweisen Sie den Betrag auf unser Konto.,"مقدار، -e","the amount, -e"
"betreuen, betreut, betreute, hat betreut",Wer betreut bei Ihnen die Kinder?,"مراقبت کردن، مراقبت کردن، رسیدگی کردن، مراقبت کرده است","to look after, looked after, looked after, has looked after"
"der Betreuer, - die Betreuerin, -nen",Die Betreuerin der Kinder ist sehr nett.,"سرپرست، - سرپرست (زن)، -s","the supervisor, - the supervisor (female), -s"
die Betreuung,Haben Sie eine Betreuung für Ihre Kinder?,مراقبت,the care
"der Betrieb, -e",1. In diesem Betrieb arbeiten zehn Leute. 2. Kurz vor Weihnachten ist in den Kaufhäusern immer viel Betrieb. 3. Der Aufzug ist in Betrieb/außer Betrieb.,"شرکت، -s","the company, -s"
"der Betriebsrat, ¨-e die Betriebsrätin, -nen",Der Betriebsrat wird Sie über die neuen Arbeitszeiten informieren.,"شورای کار، -s عضو زن شورای کار، -s","the works council, -s the female works council member, -s"
"betrügen, betrügt, betrog, hat betrogen",1. Ich würde meine Familie niemals betrügen. 2. Die Rechnung stimmt nicht. Der Kellner hat mich betrogen.,"فریب دادن، کلاهبرداری کردن، فریب دادن، کلاهبرداری کرده است","cheat, cheats, cheated, has cheated"
betrunken,"Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein.",مست,drunk
"das Bett, -en","1. Wir wollten uns neue Betten kaufen. 2. Solange Sie Fieber haben, müssen Sie im Bett bleiben.","تخت، -s","the bed, -s"
die Bevölkerung,11 % der Bevölkerung wurden nicht im Inland geboren.,جمعیت,the population
bevor,"Bevor wir gehen, möchte ich noch etwas essen.",قبل از,before
"bewegen, bewegt, bewegte, hat bewegt",1. Ich kann mich vor Schmerzen kaum noch bewegen. 2. Ich kann meinen Finger nicht mehr bewegen.,"حرکت، حرکت، حرکت، حرکت کرده است","move, moved, moved, has moved"
"die Bewegung, -en",Sie brauchen mehr Bewegung. Sie müssen regelmäßig spazieren gehen.,"حرکت، -s","the movement, -s"
"beweisen, beweist, bewies, hat bewiesen","Wir können beweisen, dass Sie bei Rot über die Ampel gefahren sind.","ثابت کردن، ثابت کردن، ثابت کرده است، ثابت کرده است","prove, proves, proved, has proven"
"der Beweis, -e",Haben Sie dafür Beweise?,"اثبات، -s","the proof, -s"
"sich bewerben, bewirbt sich, bewarb sich, hat sich beworben",1. Ich habe mich um diese Stelle beworben. 2. Ich habe mich als Kellner beworben.,"اعمال کردن، در حال اعمال کردن است، به کار گرفته شده است، اعمال شده است","to apply, is applying, applied, has applied"
"die Bewerbung, -en",1. Wohin soll ich meine Bewerbung schicken? 2. Hilfst du mir bei meiner Bewerbung?,برنامه,the application
"der Bewohner, - die Bewohnerin, -nen",Ich kenne die anderen Hausbewohner nicht.,"ساکن، - ساکن زن، -s","the resident, - the female resident, -s"
"bezahlen, bezahlt, bezahlte, hat bezahlt",Hast du die Rechnung schon bezahlt?,"پرداخت کردن، پرداخت کردن، پرداخته کردن، پرداخته است","pay, paid, paid, has paid"
"die Beziehung, -en",Wir haben gute Beziehungen zu unseren Nachbarn.,"رابطه، -s","the relationship, -s"
"die Bibliothek, -en",Die Stadtbibliothek hat bereits geschlossen.,"کتابخانه، -s","the library, -s"
das Bier,"Ein Bier, bitte!",آبجو,the beer
"bieten, bietet, bot, hat geboten","1. Er hat mir für den alten Wagen noch 800 Euro geboten. 2. Die Firma bietet ihren Mitarbeitern die Möglichkeit, Sprachkurse zu besuchen.","پیشنهاد، ارائه می‌دهد، ارائه داده است، ارائه داده است","offer, offers, offered, has offered"
"das Bild, -er",Ein Bild von meinen Kindern hängt über meinem Schreibtisch.,"تصویر، -s","the image, -s"
"der Bildschirm, -e",1. Ich brauche einen größeren Bildschirm für meinen Computer. 2. Wir haben einen Fernsehapparat mit einem sehr großen Bildschirm.,"صفحه نمایش، -s","the screen, -s"
"das Billett, -e/-s → D, A: Fahrkarte",Ein Billett können Sie am Schalter kaufen.,"بلیط، -s → D، A: بلیط","the ticket, -s → D, A: ticket"
billig,Dieses Buch ist nicht ganz billig.,ارزان,cheap
die Biologie,Meine Freundin studiert Biologie.,زیست‌شناسی,biology
Bio-,Ich kaufe nur noch Biogemüse.,ارگانیک,Organic
bio(logisch),Biologische Lebensmittel gibt es jetzt auch im Supermarkt.,ارگانیک,organic
"die Birne, -n",Möchten Sie Obst? Die Birnen sind heute besonders schön.,"گلابی، -s","the pear, -s"
bis,"1. Die Linie 8 fährt nur bis zum Hauptbahnhof. 2. Bis wann können Sie bleiben? 3. Tschüs. Bis gleich! 4. Einige Züge hatten bis zu zwei Stunden Verspätung. 5. Für die Renovierung brauchen wir drei bis vier Tage. 6. Warte hier, bis ich zurückkomme.",تا,until
bisher,Bisher ist alles in Ordnung.,تا الان,until now
ein bisschen,"1. Wenn Sie ein bisschen warten, können wir zusammen gehen. 2. Möchten Sie noch ein bisschen Reis? 3. Können Sie bitte ein bisschen lauter sprechen? 4. Sprechen Sie Englisch? – Ein bisschen.",یه کم,a little bit
"bitten, bittet, bat, hat gebeten","Darf ich Sie bitten, kurz zuzuhören?","پرسیدن، پرسیدن، پرسیدن، پرسیده است","ask, asks, asked, has asked"
"die Bitte, -n",Ich habe eine Bitte. Kann ich mal Ihr Handy benutzen?,"درخواست، -n","the request, -n"
bitte,"1. Eine Tasse Kaffee, bitte! 2. Bitte schön! 3. Wie bitte? Was haben Sie gesagt? 4. Sprechen Sie bitte langsam.",خواهش می‌کنم,please
bitter,Hast du Zucker? Der Tee ist sehr bitter.,تلخ,bitter
blass,Du siehst ganz blass aus. Bist du krank?,رنگ‌پریده,pale
"das Blatt, ¨-er",1. Die Bäume bekommen schon gelbe Blätter. 2. Haben Sie ein Blatt Papier für mich?,"برگ، -er","the leaf, -er"
"bleiben, bleibt, blieb, ist geblieben",1. Ich bleibe heute zu Hause. 2. Im Juni und Juli bleibt unser Geschäft samstags geschlossen. 3. Bleiben Sie bitte am Apparat. 4. Bleiben Sie doch sitzen! 5. Wir bleiben nur bis morgen.,"ماندن، ماندن، ماندن، ماندنی شده است","stay, stays, stayed, has stayed"
"der Bleistift, -e",Hast du einen Bleistift für mich?,"مداد، -s","the pencil, -s"
"der Blick, -e",Von hier hat man einen tollen Blick über die Stadt.,"نما، -s","the view, -s"
blind,Er ist von Geburt an blind.,نابینا,blind
"blitzen, blitzt, blitzte, hat geblitzt",1. Gestern Abend gab es ein Gewitter. Es hat furchtbar geblitzt und gedonnert. 2. Ihre Augen blitzen vor Freude.,"چشمک زدن، چشمک زدن، درخشیدن، تا به حال درخشیده است","flash, flashes, flashed, has flashed"
"der Blitz, -e","1. Was für ein Gewitter, hast du den Blitz gesehen? 2. Hast du das Foto mit Blitz gemacht?","رعد و برق، -s","the lightning, -s"
blond,1. Mein Sohn ist blond. 2. Nina hat lange blonde Haare.,بور,blond
bloß,"1. Ich möchte nichts kaufen. Ich möchte mich bloß umsehen. 2. Komm bloß nicht zu spät. Wir müssen pünktlich am Bahnhof sein. 3. Ach, wenn ich bloß mehr verdienen würde!",فقط,just
"blühen, blüht, blühte, hat geblüht",Die Bäume blühen schon. Es ist Frühling.,"شکوفه، شکوفه، شکوفا، شکوفا شده","bloom, blooms, bloomed, has bloomed"
"die Blume, -n",Wir haben meiner Mutter Blumen zum Geburtstag geschenkt.,"گل، -s","the flower, -s"
"die Bluse, -n",Ich hätte gerne eine weiße Bluse.,"بلوز، -s","the blouse, -s"
"bluten, blutet, blutete, hat geblutet",Ich habe mich verletzt. Meine Hand blutet.,"خونریزی، خونریزی، خونریزی کرده، خونریزی کرده است","bleed, bleeds, bled, has bled"
das Blut,Der Verletzte hat viel Blut verloren.,خون,the blood
"der Boden, ¨-",1. Die Bücher lagen alle auf dem Boden. 2. Auf diesem Boden wächst Gemüse besonders gut.,"زمین، ¨-","the ground, ¨-"
"der Bogen, -/¨-",Bitte schreiben Sie Ihren Namen auf den Antwortbogen.,"کمان، -/¨-","the bow, -/¨-"
"die Bohne, -n",Ich esse gern Bohnen.,"لوبیا، -s","the bean, -s"
"das Boot, -e",An diesem See kann man Boote mieten.,"قایق، -s","the boat, -s"
"die Botschaft, -en",Das Visum habe ich von der Botschaft bekommen.,"پیام، -s","the message, -s"
böse,"1. Ich habe das Buch leider vergessen. Hoffentlich bist du mir nicht böse. 2. Mach nicht so ein böses Gesicht! 3. Ich bin böse auf dich, du bist wieder nicht gekommen! 4. Zeig mal! Du hast dich verletzt? Das sieht aber böse aus.",شر,evil
"braten, brät, briet, hat gebraten",1. Das Fleisch muss zehn Minuten braten. 2. Heute gibt’s gebratenen Fisch.,"سرخ کردن، سیب زمینی سرخ کرده، سرخ شده، سرخ کرده است","fry, fries, fried, has fried"
"der Braten, -",Nehmen Sie noch etwas Soße zum Braten?,"کباب، -","the roast, -"
"brauchen, braucht, brauchte, hat gebraucht",1. Ich brauche ein Auto. 2. Brauchst du die Zeitung noch? 3. Meine Großmutter ist krank. Sie braucht viel Ruhe. 4. Ich habe für die Renovierung eine Woche gebraucht. 5. Sie brauchen morgen nicht zu kommen. Ich schaffe das alleine.,"نیاز، احتیاج دارد، لازم داشته، محتاج بوده است","need, needs, needed, has needed"
"brechen, bricht, brach, hat gebrochen","1. Er hat sich beim Skifahren verletzt, sein Bein ist gebrochen. 2. Ich habe mir im Urlaub das Bein gebrochen.","بشکن، بشکن، بشکن، شکسته است","break, breaks, broke, has broken"
breit,Der Teppich ist zwei Meter lang und einen Meter breit.,گسترده,broad
"die Breite, -n","Welche Maße hat der Tisch? – Länge: 1 m, Breite: 80 cm, Höhe: 1,20 m.","عرض، -s","the width, -s"
"bremsen, bremst, bremste, hat gebremst",Der Mann ist ganz plötzlich über die Straße gegangen. Ich musste stark bremsen.,"ترمز، ترمز، ترمز کرد، ترمز کرده است","brake, brakes, braked, has braked"
"die Bremse, -n",Du musst unbedingt die Bremsen kontrollieren lassen.,"ترمز، -s","the brake, -s"
"brennen, brennt, brannte, hat gebrannt",1. In diesem Haus hat es letztes Jahr gebrannt. 2. Die Kerze brennt noch. Mach sie bitte aus. 3. In deinem Zimmer hat die ganze Nacht das Licht gebrannt.,"سوختن، سوختن، سوختن، سوخته است","burn, burns, burned, has burned"
"der Brief, -e",Ich schreibe nicht gern Briefe.,"حرف، -s","the letter, -s"
"der Briefkasten, ¨-",1. Ist hier in der Nähe ein Briefkasten? 2. Hol bitte mal die Zeitung aus dem Briefkasten.,"صندوق پستی، ¨-","the mailbox, ¨-"
"die Briefmarke, -n",Briefmarken bekommen Sie am Schalter 7.,تمبر(های) پستی,the postage stamp(s)
"der Briefträger, → CH:dieBriefträgerin,-nen Pöstler",War die Briefträgerin schon da?,"پستچی، → CH: زن پستچی، -s postmen","the postman, → CH: the postwoman, -s postmen"
"der Briefumschlag, ¨-e → A: Kuvert; CH: Couvert",Ich hätte gern 50 Briefumschläge und Briefmarken dazu.,"the envelope, ¨-e → A: Kuvert; CH: کوورت","the envelope, ¨-e → A: Kuvert; CH: Couvert"
"die Brieftasche, -n → D, CH: Portemonnaie/Portmonee; A: Geldbörse",Ich habe nur Kleingeld in meiner Brieftasche.,"کیف پول، -s → D، CH: کیف پول/کیف پول؛ A: کیف پول","the wallet, -s → D, CH: wallet/purse; A: purse"
"die Brille, -n",Ich brauche eine neue Brille.,"عینک، -s","the glasses, -s"
"bringen, bringt, brachte, hat gebracht",1. Bringen Sie mir bitte ein Glas Tee! 2. Ich bringe dich nach Hause. 3. Die Abendzeitung hat einen Bericht über den Unfall gebracht.,"آوردن، آوردن، آوردن، آورده است","bring, brings, brought, has brought"
"die Broschüre, -n",In der Broschüre finden Sie die neuesten Informationen.,بروشور(ها),the brochure(s)
"das Brot, -e","1. Brot kaufe ich immer beim Bäcker, nicht im Supermarkt. 2. Was möchtest du aufs Brot haben? 3. Nimm noch ein paar belegte Brote für die Fahrt mit.","نان، -s","the bread, -s"
"das Brötchen, - (D) → A: Semmel; CH: Brötli",Ich hole schnell ein paar Brötchen zum Frühstück.,"نان رول، - (D) → A: Semmel؛ CH: Brötli","the bread roll, - (D) → A: Semmel; CH: Brötli"
"das Brötli, - (CH) → D: Brötchen; A: Semmel",Ich hole schnell ein paar Brötli zum Frühstück.,"das Brötli، - (CH) → D: Brötchen; ج: سمل","das Brötli, - (CH) → D: Brötchen; A: Semmel"
"die Brücke, -n",Fahren Sie über die nächste Brücke und dann rechts.,"پل، -s","the bridge, -s"
"der Bruder, ¨-",Mein jüngster Bruder geht noch zur Schule.,"برادر، ¨-","the brother, ¨-"
die Brust,Ich habe Schmerzen in der Brust.,سینه,the breast
"der Bub, -en (A, CH) → D: Junge",In der Schulklasse sind 15 Buben und 10 Mädchen.,"پسر، -s (A، CH) → D: پسر","the boy, -s (A, CH) → D: boy"
"das Buch, ¨-er",Haben Sie ein Buch über die Geschichte von Berlin?,"کتاب، -er","the book, -er"
"die Buchhandlung, -en",In der Buchhandlung in der Stadt haben sie das Buch sicher.,"کتابفروشی، -s","the bookstore, -s"
"buchen, bucht, buchte, hat gebucht",Ich habe für morgen einen Flug nach Rom gebucht.,"کتاب، کتاب‌ها، رزرو شده، رزرو کرده است","book, books, booked, has booked"
"buchstabieren, buchstabiert, buchstabierte, hat buchstabiert",Würden Sie Ihren Namen bitte buchstabieren?,"طلسم، هجی کردن، املا کردن، هجی کرده است","spell, spelled, spelled, has spelled"
"der Buchstabe, -n",1. Gibt es diesen Buchstaben auch in deiner Muttersprache? 2. Ihr Name beginnt mit K. – Buchstabe K ist in Zimmer 3. Bitte warten Sie dort.,"حرف، -s","the letter, -s"
"die Büchse, -n (D, CH) → A: Dose",Ich habe noch eine Büchse Bohnen.,"قوطی، -s (D، CH) → A: قوطی","the can, -s (D, CH) → A: can"
"das Buffet, -s",Das Buffet ist eröffnet!,بوفه,the buffet
"die Bühne, -n",Er steht gern auf der Bühne.,"صحنه، -s","the stage, -s"
bunt,Das bunte Kleid gefällt mir gut.,رنگارنگ,colorful
"die Burg, -en",Von der Burg hat man eine schöne Aussicht.,"قلعه، -s","the castle, -s"
"der Bürger, - die Bürgerin, -nen",EU-Bürgerinnen und Bürger können überall in Europa arbeiten.,"شهروند، - شهروند زن، -s","the citizen, - the female citizen, -s"
"das Büro, -s",1. Unser Büro bleibt samstags geschlossen. 2. Ich möchte in einem Büro arbeiten.,"دفتر، -s","the office, -s"
"die Bürste, -n",1. Hast du eine Bürste? Meine Schuhe sind so schmutzig. 2. Ich brauche eine Bürste für meine Haare.,"قلم‌مو، -s","the brush, -s"
"die Zahnbürste, -n",Ich brauche eine neue Zahnbürste.,"مسواک، -s","the toothbrush, -s"
"der Bus, -se",Ich fahre meistens mit dem Bus zur Arbeit.,اتوبوس,the bus
die Butter,Ich möchte nur Butter aufs Brot.,کره,the butter
"das Café, -s",Hier in der Nähe ist ein Café. Lass uns einen Kaffee trinken.,"کافه، -s","the café, -s"
"die Cafeteria, -s",Ich hole mir schnell etwas aus der Cafeteria.,کافه تریا,the cafeteria
"die Chance, -n","Mein Mann hat gute Chancen, die Stelle zu bekommen.","شانس، -n","the chance, -n"
"der Chef, -s die Chefin, -nen","Das kann ich nicht allein entscheiden, da muss ich erst die Chefin fragen.","رئیس، -s رئیس زن، -s","the boss, -s the female boss, -s"
chic/schick,Ich finde dein Kleid sehr chick.,شیک,chic
"der Coiffeur, -e die Coiffeuse, -n (CH) → D, A: Friseur",1. Du siehst toll aus! Wer ist dein Coiffeur? 2. Meine Tochter will Coiffeuse werden.,"آرایشگر، -e آرایشگر، -n (CH) → D، A: آرایشگر","the hairdresser, -e the hairdresser, -n (CH) → D, A: hairdresser"
"die Couch, -s",Wir haben uns eine Couch und neue Sessel gekauft.,"کاناپه، -s","the couch, -s"
"die Creme, -n/-s",1. Ich hätte gern eine Creme für die Hände. 2. Für die Creme habe ich Butter und Schokolade genommen.,"خامه، -s/-s","the cream, -s/-s"
"der Cousin, -s die Cousine, -n",Meine Cousine wohnt jetzt in Brasilien.,"پسرعمو، -s پسرعمو، -s","the cousin, -s the cousin, -s"
"das Couvert, -s (CH) → Briefumschlag; A: Kuvert",Ich hätte gern 50 Couverts und Briefmarken dazu.,پاکت (CH) → پاکت؛ A: روکش,the envelope (CH) → envelope; A: cuvert
da,"1. Da drüben ist ein Getränkeautomat. 2. Was Sie da sagen, ist richtig. 3. Ich wollte gerade einparken. Da kam ein Wagen rückwärts aus der Einfahrt. 4. Wir haben schon geschlossen. – Da kann man nichts machen. 5. Da Sie keinen Mitgliedsausweis haben, ist es etwas teurer. 6. Wir haben gerade über dich gesprochen. Da bist du ja. 7. Welche Bluse nehmen Sie? – Die da. 8. Ist Herr Klein schon da?",آنجا,there
dabei,"1. Was hast du dir dabei gedacht? 2. Schön, dass du da bist. Ist deine Familie auch dabei? 3. Hast du einen Stift dabei?",شامل,included
"das Dach, ¨-er",1. Wir müssen das Dach reparieren lassen. 2. Wir wohnen direkt unter dem Dach.,"سقف، -er","the roof, -er"
dafür,"1. Meine Schwester interessiert sich für Politik. Ich interessiere mich nicht dafür. 2. Ich bin dafür, dass wir möglichst früh losfahren.",برای اینکه,for that
dagegen,"1. Vorsicht, da ist ein Baum! Fahr nicht dagegen! 2. Sind Sie für oder gegen ein Rauchverbot? - Ich bin dagegen. 3. Ich habe nichts dagegen, dass wir schon nach Hause gehen.",علیه آن,against it
daher,"Ich bin erkältet, daher kann ich heute nicht kommen.",بنابراین,therefore
dahin,Der Zug kommt in 30 Minuten. Bis dahin können wir einen Kaffee trinken.,آنجا,there
damals,Mit 15 wollte ich gerne Klavier spielen lernen. Aber damals hatte ich kein Geld dafür.,در آن زمان,at that time
"die Dame, -n",1. Sie ist eine nette alte Dame. 2. Meine Damen und Herren! 3. Sehr geehrte Damen und Herren.,"خانم، -س","the lady, -s"
damit,"1. Mach schnell, damit wir nicht zu spät kommen. 2. Was macht man mit diesem Ding? - Damit kann man Dosen aufmachen.",با آن,with it
danach,"Zuerst gehen wir einkaufen, danach grillen wir auf unserem Balkon.",پس از آن,thereafter
daneben,"Du weißt doch, wo die Post ist. Gleich daneben ist die Bank.",علاوه بر این,besides
"danken, dankt, dankte, hat gedankt",Ich danke dir für die Einladung.,"متشکرم، سپاسگزارم، سپاسگزاری کرده است، تشکر کرده است","thank, thanks, thanked, has thanked"
der Dank,1. Vielen Dank für Ihre Mühe. 2. Hier ist Ihr Kaffee. – Vielen Dank! 3. Herzlichen Dank! 4. Gott sei Dank hat es nicht geregnet.,با تشکر,thanks
dankbar,Ich bin Ihnen sehr dankbar für Ihre Hilfe.,سپاسگزار,thankful
danke,"1. Soll ich Ihnen helfen? Nein, danke, nicht nötig. 2. Guten Appetit! – Danke gleichfalls.",ممنون,Thanks
dann,"1. Ich muss noch schnell zur Post, dann komme ich. 2. Wir waren pünktlich am Bahnhof. Aber dann hatte der Zug Verspätung. 3. Ich habe im Moment sehr viel zu tun. – Dann will ich nicht länger stören. 4. Wenn es nicht regnet, dann kommen wir.",سپس,then
"darstellen, stellt dar, stellte dar, hat dargestellt",Er konnte das Problem sehr gut darstellen.,"نماینده، نشان دهنده، نماینده، نماینده داشته است","represent, represents, represented, has represented"
"die Darstellung, -en",Ihr Buch enthält eine klare Darstellung dieser Probleme.,"نمایش، -s","the representation, -s"
dass,"Rico hat mir gesagt, dass er auch zur Party kommt.",که,that
"die Datei, -en",Wo hast du die Datei gespeichert?,"فایل، -s","the file, -s"
"das Datum, die Daten",1. Welches Datum haben wir heute? 2. Bitte Datum und Unterschrift nicht vergessen. 3. Ich brauche noch ein paar Daten von Ihnen.,"تاریخ، داده‌ها","the date, the data"
die Daten (Plural),Wir haben alle Ihre Daten im Computer.,داده‌ها (جمع),the data (plural)
"dauern, dauert, dauerte, hat gedauert",Wie lange dauert die Pause? – Eine halbe Stunde.,"گرفتن، گرفتن، گرفتن، گرفته شده است","to take, takes, took, has taken"
die Dauer,1. Sie können das Buch für die Dauer einer Woche ausleihen. 2. Auf Dauer ist die Arbeit nicht interessant.,مدت زمان,the duration
dauernd,1. Das dauernde Klingeln des Telefons stört mich. 2. Er ist dauernd krank.,دائماً,constantly
"die Decke, -n",1. Im Wohnzimmer haben wir keine Lampe an der Decke. 2. Kann ich noch eine Decke bekommen? Mir ist kalt.,"سقف، -s","the ceiling, -s"
"dekorieren, dekoriert, dekorierte, hat dekoriert","Hilfst du mir, den Tisch für die Party zu dekorieren?","زینت دادن، آراستن، تزیین کردن، آراستن","decorate, decorated, decorated, has decorated"
"denken, denkt, dachte, hat gedacht","1. Du lachst - was denkst du gerade? 2. Ich denke, dass du recht hast. 3. Wir diskutieren gerade über das Rauchen. Wie denken Sie darüber? 4. Denk bitte daran, die Heizung auszumachen. 5. Es ist mir ganz egal, was die Leute von mir denken. 6. Ich denke oft an meine Familie. 7. Ich hatte mir gedacht, dass wir zusammen fahren könnten.","فکر کردن، فکر کردن، فکر کردن، فکر کرده است","think, thinks, thought, has thought"
"der Gedanke, -n","1. Ich muss zuerst meine Gedanken sammeln. 2. Dein Hinweis bringt mich auf einen Gedanken. 3. Der Gedanke an das Unglück macht uns traurig. 4. Lass uns einen Ausflug machen, damit du auf andere Gedanken kommst. 5. Sie ist ganz in Gedanken versunken.","فکر، -s","the thought, -s"
"das Denkmal, ¨-er",In dieser Stadt gibt es viele berühmte Denkmäler.,"بنای یادبود، -er","the monument, -er"
denn,"1. Ich lerne jetzt auch Portugiesisch, denn ich möchte nach Südamerika reisen. 2. Wie ist das Spiel denn ausgegangen?",زیرا,because
"derselbe, dieselbe, dasselbe",Mein Freund und ich gehen in dieselbe Schule.,"همان، همان، همان","the same, the same, the same"
deshalb,Ich war krank. Deshalb war ich nicht im Büro.,به همین دلیل,for this reason
"das Dessert, -s → D, A: Nachspeise",Nach dem Essen gab es noch ein leckeres Dessert.,"دسر → D، A: خوراکی بعد از شام","dessert → D, A: after-dinner treat"
deswegen,Ich habe falsch geparkt. Deswegen habe ich einen Strafzettel bekommen.,به دلیل این,because of this
"das Detail, -s",1. Dieses Detail ist unwichtig. 2. Ich habe alles bis ins kleinste Detail vorbereitet.,"جزئیات، -s","the detail, -s"
deutlich,Schreiben Sie bitte deutlich!,به وضوح,clearly
die Diät,Ich möchte abnehmen. Deshalb mache ich eine Diät.,رژیم غذایی,the diet
"der Dialekt, -e","Ich verstehe dich besser, wenn du nicht Dialekt sprichst.","گویش، -s","the dialect, -s"
"der Dialog, -e",Sie hören jetzt einen Dialog.,"دیالوگ، -s","the dialogue, -s"
dicht,Unsere Fenster sind nicht dicht. Es zieht immer.,متراکم,dense
dick,1. Ich bin zu dick. Ich muss weniger essen. 2. Die Wände sind hier sehr dick.,ضخیم,thick
"der Dieb, -e",Ein Dieb hat mir auf dem Markt die Tasche gestohlen.,"دزد، -s","the thief, -s"
"dienen, dient, diente, hat gedient",1. Solche Kontakte dienen der Verbesserung der internationalen Beziehungen. 2. Dieser Raum dient als Aufenthaltsraum. 3. Er hat der Firma viele Jahre lang gedient.,"خدمت کردن، خدمت کردن، خدمت کردن، خدمت کرده است","serve, serves, served, has served"
der Dienst,1. Als Krankenschwester habe ich oft Frühdienst. 2. Morgen habe ich Dienst. Deshalb kann ich nicht kommen.,سرویس,the service
dies-,1. Wohin fährst du dieses Jahr in Urlaub? 2. Welche Hose nehmen Sie? – Diese hier.,این-,this-
diesmal,Die letzten Spiele haben wir verloren. Diesmal haben wir zum Glück gewonnen.,این بار,this time
digital,Ich habe eine Digitaluhr gekauft. Die geht genauer als meine alte Uhr.,دیجیتال,digital
"das Ding, -e",Gib mir bitte mal das Ding da drüben.,"آن چیز، -s","the thing, -s"
"das Diplom, -e",Wo kann ich mein Diplom abholen?,دیپلم(ها),the diploma(s)
direkt,1. Wir liefern Ihnen die Waren direkt ins Haus. 2. Das Dorf liegt direkt an der Autobahn. 3. Gibt es keinen direkten Zug nach Hamburg? 4. Sie übertragen das Fußballspiel direkt.,مستقیم,direct
"der Direktor, -en die Direktorin, -nen",Ich möchte gern mit dem Direktor sprechen.,کارگردان (ها) کارگردان (ها),the director(s) the director(s)
"die Diskothek, -en/Disko, -s",Wir gehen heute Abend in die Disko(thek).,"دیسکو، -s/دیسکو، -s","the discotheque, -s/disco, -s"
"diskutieren, diskutiert, diskutierte, hat diskutiert","Wir haben lange diskutiert, wie wir das Büro einrichten sollen.","بحث کردن، بحث کردن، گفتگو کردن، بحث کرده است","discuss, discussed, discussed, has discussed"
"die Diskussion, -en",Im Fernsehen gab es eine Diskussion zum Thema „Kinderbetreuung“.,"بحث، -s","the discussion, -s"
"die Distanz, -en",Diese Firma transportiert Waren auch über große Distanzen.,فاصله (ها),the distance(s)
doch,"1. Isst du kein Fleisch? – Doch, manchmal schon. 2. Ich habe es mir anders überlegt. Ich komme doch mit in die Stadt. 3. Ihr kommt doch heute Abend? 4. Fragen Sie doch Herrn Müller, der ist Computerspezialist. 5. Ach, wenn doch schon Sonntag wäre!",اما,but
"der Doktor, -en die Doktorin, -nen",1. Ist Frau Dr. Müller da? 2. Meine Tochter ist krank. Wir gehen zum Doktor.,"the doctor, -en the doctor, -nen","the doctor, -en the doctor, -nen"
"das Dokument, -e",1. Hast du alle Dokumente für die Anmeldung dabei? 2. Dieser Stein ist ein wichtiges Dokument für die alte römische Kultur.,"سند، -s","the document, -s"
"donnern, donnert, donnerte, hat gedonnert",1. Hörst du es donnern? Das Gewitter kommt näher. 2. Der Lkw donnert über die Landstraße.,"رعد، رعد، رعد زد، رعد زده است","thunder, thunders, thundered, has thundered"
"der Donner, -",Der Donner kam erst lange nach dem Blitz.,"رعد، -","the thunder, -"
doppelt,Das Buch habe ich doppelt.,دو برابر,double
Doppel-,1. Wir hätten gern ein Doppelbett. 2. Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?,دو برابر,Double
"das Dorf, ¨-er",Unser Dorf liegt direkt an der Autobahn.,"روستا، -er","the village, -er"
dort,1. Dort drüben ist der Bahnhof. 2. Ich werde in fünf Minuten dort sein.,آنجا,there
dorthin,Deine Tasche kannst du dorthin stellen.,آنجا,there
"die Dose, -n → D, CH: Büchse",Ich habe noch eine Dose Bohnen.,"قوطی، -s → D، CH: قوطی","the can, -s → D, CH: can"
draußen,1. Es ist kalt draußen. 2. Wir müssen draußen warten.,بیرون,outside
der Dreck,1. Iss den Apfel nicht! Der lag im Dreck. 2. Ich konnte vor lauter Dreck auf dem Fenster nichts sehen. 3. Kümmere dich um deinen eigenen Dreck!,خاک,the dirt
"drehen, dreht, drehte, hat gedreht",1. Drehen Sie zum Einschalten den Schalter nach rechts. 2. Die Kinder drehen sich zur Musik im Kreis. 3. Bei Familie Huber dreht sich jetzt alles um das Baby.,"چرخید، می‌چرخد، چرخید، چرخید","turn, turns, turned, has turned"
dringend,1. Ich muss dich dringend sprechen. 2. Ich erwarte einen dringenden Anruf. 3. Bitte kommen Sie schnell. Es ist dringend.,فوری,urgent
